sentence id,text,sentiment,topic
22,Emma Darcy has always been a good writer I love reading her books. they are the best pick me up when I am in a funk so as always great read.,positive,book
32,"WOW! This is a major league book of hotness!  I love reading about the bisexual men as much as the menage, etc.  Two men who can pleasure each other AND admit a female??  I'm so there!  At $2,  it was a great way to introduce this author to me.  DEFINATELY purchasing more by Ms. McKenna.  Brava!",positive,book
39,"Love this case!  It protects the Kindle and opens on only 2 sides, so you're less likely to drop it when opening and closing it.  Also looks very ""professional"" in your briefcase.",positive,book
48,Loved all the characters in each book cant wait for the next book in this series!!! truly a hot steamy page turner,positive,book
62,"Drew finds out from his girlfriend's reading material that she has m&eacute;nage fantasies and decides to make it a reality for their one-year anniversary. He enrolls his best friend Brody to be the third partner, unaware that he's got some kind of thing for Sidney. While she's at first a bit startled, Sidney accepts this ""gift"" and things go amazingly well...at first.The m&eacute;nage scenes are definitely well done but more importantly, the story that deals with the complexity of everyone's feelings and the aftermath is even better. Everyone's perspectives are offered and woven seamlessly for such a short story. I really enjoyed it and plan to read Brody's story next.",positive,book
81,This book was well written and kept my attention from beginning to end. Revelation came alive and made me want to go to my heavenly home. What a great read!!!!,positive,book
133,"Some reviewers said this wasn't a story, merely a sample. That's not try. It's a novella, a SHORT story. Yes, it IS short. The reviews already said so. But it's a good story, though it's twisted and deranged. A lot of people probably won't like it. But it's really not bad, if you can get past the graphic aspects thrown in. I like the book, even if it's odd and somewhat disturbing. :)",positive,book
148,"Even though I am not a cat lover by the time I finished this book my feelings for Miranda's cat had certainly changed. When I first started reading this book I intended just to read for a short while, taking a break from a hot day, but I ended up reading the entire book in one sitting!I loved the setting and the way the author made you feel it could almost be anywhere in the world. Portions had me thinking of Canada while other descriptions made me think of places in Wales and Scotland. Plus who wouldn't like to live in a lighthouse.If you enjoy magic and mystery you will certainly find this book engaging. The twist at the end was wonderful and I did have my suspicions but not until much later on in the book.  This is a book that I am sure to read again!",positive,book
175,"I look for bundled series for the Kindle and was pleasantly surprised with this one. A historical fiction featuring a heroine that is coming into her own, it manages to have romance without dragging sex into it too much (so far in the series) and a plausible mystery.  It manages to keep the heroine within character for her timeline rather than making her a modern-day woman in a corset and bustle.",positive,book
207,Have been following this series liked the books and characters. But not my favorite author. Prefer buying books from Baen Publishing dot com.,positive,book
221,This is a great 4 book compilation of some of my f scott fitzgerald favorites.All in one place and easy to read ebook format.Worth the few bucks.,positive,book
231,haven't used the principles enough to know the value.  I will update this as I use the book more later,positive,book
233,Disappointed it was not her life story. I have to buy another book to read the rest of her life. I don t know if I will buy another.,positive,book
252,"I really enjoyed this book. I liked Nora and LOVED Tom. I couldn't put the book down, especially as the end neared. The chemistry that builds between Nora and Tom when they are stuck in the cabin together is great. This is a romance with lots of spanking and sex (and a very nice plot), so if that's your thing, you'll probably like this book!",positive,book
254,"I'm new to this series having read only the first two books but I have loved them enough to purchase the complete series. They are short, easy to read and very enjoyable.",positive,book
311,"I enjoyed this story by Kallysten (as I have all that I've read by her).  Brett is human and the owner of On The Edge, a club that caters to both vampires and humans.  Lisa is his vampire lover and silent partner.  They have a good relationship, one that isn't the usual vampire-human one in that Lisa hasn't bitten Brett (she doesn't want to see him as food).  She is on the hunt one evening in the club and is surprised to see Leo, her old lover and fellow vampire.  She couldn't remember why they had parted 15 years ago but found it wonderful to be in Leo's arms again.  From this point on, (no I'm not going to spoil it for you), you read about how Lisa, Brett and Leo develop a relationship between themselves.  It is a hot and spicy read and I am looking forward to reading the next story, Over The Edge, that continues Brett, Lisa and Leo's story.I received an ebook from the author for the purpose of an honest review. All comments are my own and I was not compensated for this review.",positive,book
